data_fraction,n_participants,metric,model_r,ceiling_r,gap
0.2,17,r_trt,0.5130886970696427,0.8521345838838843,0.33904588681424164
0.2,17,r_ffd,0.19813230869673643,0.802948765181684,0.6048164564849476
0.2,17,r_gaze,0.4894614654865653,0.842295374531208,0.3528339090446427
0.2,17,r_skip,0.5122788623983945,0.810948986533717,0.29867012413532257
0.4,34,r_trt,0.5591011587700794,0.9270973411085823,0.36799618233850295
0.4,34,r_ffd,0.20139742389117504,0.88688551931843,0.6854880954272549
0.4,34,r_gaze,0.5538178943216374,0.9182815871697637,0.3644636928481263
0.4,34,r_skip,0.528707579576928,0.9031095892674633,0.3744020096905353
0.6,50,r_trt,0.5903897463075772,0.9508979542057538,0.3605082078981766
0.6,50,r_ffd,0.2341263206258704,0.9218700816599604,0.68774376103409
0.6,50,r_gaze,0.5957486599939465,0.9442104949509147,0.34846183495696814
0.6,50,r_skip,0.5385375844010776,0.9309352144427033,0.39239763004162576
0.8,67,r_trt,0.5856090268289486,0.960363517301486,0.3747544904725374
0.8,67,r_ffd,0.23817275977520083,0.9379440785879711,0.6997713188127703
0.8,67,r_gaze,0.5882010470103322,0.9569264074866435,0.3687253604763113
0.8,67,r_skip,0.5411910727904398,0.944932906854632,0.4037418340641923
1.0,84,r_trt,0.5932387175753508,0.969669238183881,0.3764305206085301
1.0,84,r_ffd,0.24748911468438464,0.9520642106199295,0.7045750959355449
1.0,84,r_gaze,0.5986678878117443,0.9664540219410652,0.36778613412932093
1.0,84,r_skip,0.5415968944919249,0.9583433792942488,0.4167464848023239
