group,n_readers,n_sentences,n_words,mean_RT,fit_loss,fit_time_seconds,l1_base_offset,l1_freq_coef,alpha1_reichle,alpha2_reichle,delta,epsilon,M1,M2_eq_I,lambda_refix,refix_pivot,skip_temperature
fast,7,30601,326732,129.04871882766304,20.217860432817385,414.90180492401123,59.58173370361328,-17.039608001708984,93.66094970703125,3.407921552658081,0.2660002112388611,1.1398234367370605,123.70677185058594,24.057649612426758,0.8983201384544373,8.559358596801758,31.340797424316406
slow,7,31200,335178,194.3289863893215,21.250187705846933,422.29506158828735,60.01865005493164,-17.14228630065918,94.30322265625,3.428457260131836,0.3479641377925873,1.188230037689209,123.69290924072266,24.053077697753906,0.7658706903457642,8.161393165588379,31.337251663208008
