model,dataset,metric,mean,std,n_seeds,min,max
ohio_state_roberta,geco_test,r_skip,0.7410128111469131,0.0027836954258564427,5,0.736906701448621,0.7441552396375927
ohio_state_roberta,geco_test,r_trt,0.4194743831273458,0.028541845251040403,5,0.38901004838536446,0.45283662334991703
ohio_state_roberta,provo,bias_ffd,4.815249308276589,1.5029586813050684,5,2.47194247893475,6.47636843616101
ohio_state_roberta,provo,bias_gaze,-8.461520004697139,1.5347615279200868,5,-10.624320967350798,-6.470589886409442
ohio_state_roberta,provo,bias_trt,-13.781366873595982,1.9469466425148132,5,-16.360761427843386,-11.113517967758128
ohio_state_roberta,provo,mae_ffd,18.1188535067697,0.26859315892421903,5,17.70645926437055,18.433803302849473
ohio_state_roberta,provo,mae_gaze,31.997185376330105,0.07914357884720616,5,31.918089792609017,32.0893234828098
ohio_state_roberta,provo,mae_trt,46.98153574201816,1.703498429212016,5,44.644820233931256,48.31738878498651
ohio_state_roberta,provo,mean_human_skip,0.440561416729465,6.206335383118183e-17,5,0.44056141672946497,0.44056141672946497
ohio_state_roberta,provo,mean_pred_skip,0.490431950032464,0.004003377649614652,5,0.486047720173044,0.495824730606257
ohio_state_roberta,provo,r_ffd,0.2542290057466623,0.00023376384213625207,5,0.2538833556512958,0.25446391679376235
ohio_state_roberta,provo,r_gaze,0.5864580732357701,0.00012983245962631794,5,0.5863277408682159,0.5866369695914483
ohio_state_roberta,provo,r_skip,0.8689149717954624,0.0034723289342546895,5,0.8630663422432393,0.8717076755369934
ohio_state_roberta,provo,r_trt,0.5915174366703602,0.008752436037572652,5,0.5823269637477173,0.6012700647789335
v4c_v2_dualctx,geco_test,bias_ffd,1.8218297097619882,1.4241817264290169,5,0.8286683872423168,4.107636694828983
v4c_v2_dualctx,geco_test,bias_gaze,3.950106073277186,1.7714010583714874,5,1.760619699040177,6.537004955209881
v4c_v2_dualctx,geco_test,bias_trt,-7.945798537970302,1.8039000934735256,5,-10.231207640057391,-5.344563483650461
v4c_v2_dualctx,geco_test,mae_ffd,35.67988334733733,0.26157218432415696,5,35.40849233556111,35.95711997694878
v4c_v2_dualctx,geco_test,mae_gaze,44.38098641212651,0.3697494533084012,5,44.04372168572392,44.977596271563584
v4c_v2_dualctx,geco_test,mae_trt,58.94159057400908,0.08276872607156308,5,58.80792759105496,59.0192820684801
v4c_v2_dualctx,geco_test,mean_human_skip,0.5266514979294474,0.0,5,0.5266514979294474,0.5266514979294474
v4c_v2_dualctx,geco_test,mean_pred_skip,0.5362751685058381,0.007541923461208863,5,0.5280782445197459,0.5458274297221363
v4c_v2_dualctx,geco_test,r_ffd,0.1944769126714018,0.013256543751438692,5,0.1784960004171515,0.21225484287173343
v4c_v2_dualctx,geco_test,r_gaze,0.37897126838855594,0.0014901179003221987,5,0.3766624325890932,0.38062113561691574
v4c_v2_dualctx,geco_test,r_skip,0.39317278762657154,0.007510602164596338,5,0.3864073150741278,0.40494992167896143
v4c_v2_dualctx,geco_test,r_trt,0.43422625091961214,0.001342203937658778,5,0.4332637070743559,0.43658215548886137
v4c_v2_dualctx,provo,bias_ffd,5.324365326265729,1.4091086676097055,5,4.058298376770637,7.475384968685262
v4c_v2_dualctx,provo,bias_gaze,-3.1455426290083155,1.835678964665551,5,-5.706299490013009,-0.6765663309326726
v4c_v2_dualctx,provo,bias_trt,-23.77381088798354,1.8717782218884191,5,-26.430490523509377,-21.290498274560264
v4c_v2_dualctx,provo,mae_ffd,19.358925142995027,0.1721866804273819,5,19.14372050088434,19.620225892968392
v4c_v2_dualctx,provo,mae_gaze,30.82884301011602,0.38994399145147757,5,30.2639880244396,31.365597217095697
v4c_v2_dualctx,provo,mae_trt,46.018368713414404,0.5534608272857323,5,45.34741762500097,46.874295393004765
v4c_v2_dualctx,provo,mean_human_skip,0.440561416729465,6.206335383118183e-17,5,0.44056141672946497,0.44056141672946497
v4c_v2_dualctx,provo,mean_pred_skip,0.533919701918581,0.00863674052679914,5,0.5249996396146551,0.5461018071112542
v4c_v2_dualctx,provo,r_ffd,0.25820087989788526,0.019680878227196292,5,0.23430276780250625,0.28084310648550487
v4c_v2_dualctx,provo,r_gaze,0.6014768431756521,0.004460730770028816,5,0.5954939711480441,0.6059605142458241
v4c_v2_dualctx,provo,r_skip,0.5437703045475747,0.007991498098069033,5,0.5325877683687029,0.554706198419044
v4c_v2_dualctx,provo,r_trt,0.5964692921942781,0.00400211857611477,5,0.5914944471521305,0.6007191446435506
