model,seed,dataset,metric,value
v4c_v2_dualctx,3,provo,mean_human_skip,0.44056141672946497
v4c_v2_dualctx,42,geco_test,r_trt,0.4332637070743559
v4c_v2_dualctx,42,geco_test,r_ffd,0.18921709414222698
v4c_v2_dualctx,42,geco_test,r_gaze,0.37896321637782904
v4c_v2_dualctx,42,geco_test,r_skip,0.3864073150741278
v4c_v2_dualctx,42,geco_test,mae_trt,58.922742435564544
v4c_v2_dualctx,42,geco_test,mae_ffd,35.672245505631764
v4c_v2_dualctx,42,geco_test,mae_gaze,44.124749243757286
v4c_v2_dualctx,42,geco_test,bias_trt,-8.665056024047033
v4c_v2_dualctx,42,geco_test,bias_ffd,0.9554927847595422
v4c_v2_dualctx,42,geco_test,bias_gaze,3.2152599264739763
v4c_v2_dualctx,42,geco_test,mean_pred_skip,0.5406450805858701
v4c_v2_dualctx,42,geco_test,mean_human_skip,0.5266514979294474
v4c_v2_dualctx,42,provo,r_trt,0.5932387175753508
v4c_v2_dualctx,42,provo,r_ffd,0.24748911468438464
v4c_v2_dualctx,42,provo,r_gaze,0.5986678878117443
v4c_v2_dualctx,42,provo,r_skip,0.5415968944919249
v4c_v2_dualctx,42,provo,mae_trt,46.09169999261151
v4c_v2_dualctx,42,provo,mae_ffd,19.376800034938636
v4c_v2_dualctx,42,provo,mae_gaze,30.830795315462947
v4c_v2_dualctx,42,provo,bias_trt,-23.95536764483751
v4c_v2_dualctx,42,provo,bias_ffd,4.952324712635658
v4c_v2_dualctx,42,provo,bias_gaze,-3.342688112029606
v4c_v2_dualctx,42,provo,mean_pred_skip,0.5364516353211103
v4c_v2_dualctx,42,provo,mean_human_skip,0.44056141672946497
bert_regression,1,geco_test,r_trt,0.4550037801224511
bert_regression,1,geco_test,r_ffd,0.217307019914275
bert_regression,1,geco_test,r_gaze,0.38793939080434586
bert_regression,1,geco_test,r_skip,0.640471076305983
bert_regression,1,geco_test,mae_trt,59.09621026689727
bert_regression,1,geco_test,mae_ffd,34.84055123674138
bert_regression,1,geco_test,mae_gaze,42.50349595073282
bert_regression,1,geco_test,bias_trt,1.6316984340157887
bert_regression,1,geco_test,bias_ffd,-1.59016879616928
bert_regression,1,geco_test,bias_gaze,-1.0596333995841007
bert_regression,1,geco_test,mean_pred_skip,0.5244738438891793
bert_regression,1,geco_test,mean_human_skip,0.5266514979294474
bert_regression,1,provo,r_trt,0.593550833389898
bert_regression,1,provo,r_ffd,0.2990782725255217
bert_regression,1,provo,r_gaze,0.5703976101549696
bert_regression,1,provo,r_skip,0.7699879777313389
bert_regression,1,provo,mae_trt,46.20621683479539
bert_regression,1,provo,mae_ffd,17.73616983388029
bert_regression,1,provo,mae_gaze,31.598375368749736
bert_regression,1,provo,bias_trt,-19.57276053480757
bert_regression,1,provo,bias_ffd,0.42325812231428017
bert_regression,1,provo,bias_gaze,-14.586617011269993
bert_regression,1,provo,mean_pred_skip,0.5045257545361954
bert_regression,1,provo,mean_human_skip,0.44056141672946497
bert_regression,100,geco_test,r_trt,0.44360202066060395
bert_regression,100,geco_test,r_ffd,0.21975547476190901
bert_regression,100,geco_test,r_gaze,0.38324233988471307
bert_regression,100,geco_test,r_skip,0.6323682285322717
bert_regression,100,geco_test,mae_trt,59.24872722540862
bert_regression,100,geco_test,mae_ffd,35.27225290126478
bert_regression,100,geco_test,mae_gaze,43.02852679771996
bert_regression,100,geco_test,bias_trt,-14.701215004773928
bert_regression,100,geco_test,bias_ffd,-4.713169929474844
bert_regression,100,geco_test,bias_gaze,-9.120926494831451
bert_regression,100,geco_test,mean_pred_skip,0.5577120077954576
bert_regression,100,geco_test,mean_human_skip,0.5266514979294474
bert_regression,100,provo,r_trt,0.6043153685093751
bert_regression,100,provo,r_ffd,0.3088913915873801
bert_regression,100,provo,r_gaze,0.5790952514915757
bert_regression,100,provo,r_skip,0.7654431141610577
bert_regression,100,provo,mae_trt,51.16047976751578
bert_regression,100,provo,mae_ffd,18.49158645417088
bert_regression,100,provo,mae_gaze,34.259554076287664
bert_regression,100,provo,bias_trt,-35.61662110755924
bert_regression,100,provo,bias_ffd,-2.4105055349343445
bert_regression,100,provo,bias_gaze,-22.75281551176451
bert_regression,100,provo,mean_pred_skip,0.5460159543230737
bert_regression,100,provo,mean_human_skip,0.44056141672946497
bert_regression,2,geco_test,r_trt,0.44954057599424435
bert_regression,2,geco_test,r_ffd,0.2240018129922086
