corpus,metric,half_corr_mean,half_corr_std,full_corr_estimate,n_splits,n_participants
geco,r_trt,0.6696742250695173,0.0093789267964858,0.8021615414727209,200,14
geco,r_ffd,0.5954874086212688,0.0100959941866241,0.7464645667568832,200,14
geco,r_gaze,0.6516580123116958,0.0101751638648556,0.78909557239349,200,14
geco,r_skip,0.6107806053846055,0.0088839875993211,0.7583659790077614,200,14
