corpus,metric,half_corr_mean,half_corr_std,full_corr_estimate,n_splits,n_participants
geco,r_trt,0.6696742250695173,0.009378926796485805,0.8021615414727209,200,14
geco,r_ffd,0.5954874086212688,0.010095994186624144,0.7464645667568832,200,14
geco,r_gaze,0.6516580123116958,0.010175163864855633,0.78909557239349,200,14
geco,r_skip,0.6107806053846055,0.008883987599321118,0.7583659790077614,200,14
